lat,lon,alt,date,device,os,version
40.6838264465,-73.9800949097,49.1675949097,2012-03-19 08:51:12,"iPhone4,1",5.1,1.0
40.677406311,-73.9684295654,102,2012-03-19 09:06:08,"iPhone4,1",5.1,1.0
40.6831321716,-73.9786300659,49.257900238,2012-03-19 10:33:36,"iPhone4,1",5.1,1.0
40.6768455505,-73.9652786255,49.4013252258,2012-03-19 10:48:32,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,144,2012-03-19 12:56:32,"iPhone4,1",5.1,1.0
40.677947998,-73.9674758911,74,2012-03-19 13:11:28,"iPhone4,1",5.1,1.0
40.6754722595,-73.9622421265,48.7222213745,2012-03-19 13:22:08,"iPhone4,1",5.1,1.0
40.680683136,-73.9733657837,48.2583961487,2012-03-19 14:06:56,"iPhone4,1",5.1,1.0
40.675453186,-73.9622268677,48.7999992371,2012-03-19 15:06:40,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,49.055557251,2012-03-19 16:38:24,"iPhone4,1",5.1,1.0
40.6754150391,-73.9622421265,49.1001625061,2012-03-19 16:44:48,"iPhone4,1",5.1,1.0
40.677947998,-73.9794692993,59.9594345093,2012-03-19 18:10:08,"iPhone4,1",5.1,1.0
40.6982917786,-73.9842300415,59.9594345093,2012-03-19 18:18:40,"iPhone4,1",5.1,1.0
40.7125892639,-73.993812561,37.6389465332,2012-03-19 18:22:56,"iPhone4,1",5.1,1.0
40.7192955017,-73.9996337891,32.0370559692,2012-03-19 18:27:12,"iPhone4,1",5.1,1.0
40.7130737305,-73.9942474365,30.5755882263,2012-03-19 23:32:16,"iPhone4,1",5.1,1.0
40.6978263855,-73.9925842285,34,2012-03-19 23:47:12,"iPhone4,1",5.1,1.0
40.6834869385,-73.9796447754,41,2012-03-19 23:55:44,"iPhone4,1",5.1,1.0
40.6757354736,-73.9620819092,17,2012-03-20 00:08:32,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,50.2666664124,2012-03-20 12:58:40,"iPhone4,1",5.1,1.0
40.6754722595,-73.9622192383,48.7058830261,2012-03-20 13:47:44,"iPhone4,1",5.1,1.0
40.6839103699,-73.9802703857,36,2012-03-20 13:58:24,"iPhone4,1",5.1,1.0
40.675983429,-73.9630661011,20,2012-03-20 14:13:20,"iPhone4,1",5.1,1.0
40.6798591614,-73.9870834351,31,2012-03-20 14:21:52,"iPhone4,1",5.1,1.0
40.6769332886,-73.9691848755,45.8494186401,2012-03-20 14:28:16,"iPhone4,1",5.1,1.0
40.6854629517,-73.9754257202,38,2012-03-20 14:49:36,"iPhone4,1",5.1,1.0
40.7149124146,-73.9949188232,31.4490413666,2012-03-20 14:56:00,"iPhone4,1",5.1,1.0
40.7194633484,-73.9996490479,31.9719867706,2012-03-20 15:00:16,"iPhone4,1",5.1,1.0
40.7196388245,-73.9999008179,38.5978393555,2012-03-20 17:46:40,"iPhone4,1",5.1,1.0
40.7196426392,-73.9999160767,37.0415420532,2012-03-20 17:46:40,"iPhone4,1",5.1,1.0
40.7125663757,-73.9940338135,29.8888893127,2012-03-21 00:40:32,"iPhone4,1",5.1,1.0
40.6648712158,-73.9944229126,42.3815116882,2012-03-21 00:51:12,"iPhone4,1",5.1,1.0
40.6766166687,-73.9685897827,55,2012-03-21 00:55:28,"iPhone4,1",5.1,1.0
40.6754341125,-73.9622344971,51.0566673279,2012-03-21 01:04:00,"iPhone4,1",5.1,1.0
40.6835098267,-73.9794311523,51.0999984741,2012-03-21 02:27:12,"iPhone4,1",5.1,1.0
40.678188324,-73.967918396,14,2012-03-21 02:40:00,"iPhone4,1",5.1,1.0
40.6754112244,-73.9622268677,50.7692298889,2012-03-21 03:01:20,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,51.8928909302,2012-03-21 03:12:00,"iPhone4,1",5.1,1.0
40.6754302979,-73.9622650146,50.6461982727,2012-03-21 03:26:56,"iPhone4,1",5.1,1.0
40.6844749451,-73.9813079834,51.2727279663,2012-03-21 12:24:32,"iPhone4,1",5.1,1.0
40.6766929626,-73.9649124146,50.4637870789,2012-03-21 12:39:28,"iPhone4,1",5.1,1.0
40.6844749451,-73.9813156128,50.1176452637,2012-03-21 13:34:56,"iPhone4,1",5.1,1.0
40.6778678894,-73.967086792,52,2012-03-21 13:49:52,"iPhone4,1",5.1,1.0
40.6839294434,-73.9770889282,26.75,2012-03-21 14:13:20,"iPhone4,1",5.1,1.0
